id,name,state,subject,filename,rebrand_status
"206981371060","Service -- Email 1 of 2 -- Ticket Update -- Ticket Received","AUTOMATED","Your ticket '{{ticket.subject}}' has been received","206981371060_Service----Email-1-of-2----Ticket-Update----Ticket-Received.html","pending"
"206981497264","Service -- Email 2 of 2 -- Ticket Update -- Ticket Closed","AUTOMATED","Your ticket '{{ticket.subject}}' has been closed","206981497264_Service----Email-2-of-2----Ticket-Update----Ticket-Closed.html","pending"
"207110364257","Welcome -- Email 1 of 5 -- Welcome -- New Subscriber Introduction","AUTOMATED","Welcome to Hair Solutions - your first order starts here","207110364257_Welcome----Email-1-of-5----Welcome----New-Subscriber-Introduction.html","pending"
"207224277892","New Customer -- Email 1 of 8 -- New Customer Onboarding -- Your Order Is Confirmed Here's What's Next","AUTOMATED","Your order is confirmed — here's what's next","207224277892_New-Customer----Email-1-of-8----New-Customer-Onboarding----Your-Order-Is-Confirmed-Heres-Whats-Next.html","pending"
"207224311662","New Customer -- Email 4 of 8 -- New Customer Onboarding -- Did Your System Arrive Safely","AUTOMATED","Did your system arrive safely?","207224311662_New-Customer----Email-4-of-8----New-Customer-Onboarding----Did-Your-System-Arrive-Safely.html","pending"
"208934606082","Abandoned Cart -- Email 1 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today","AUTOMATED","You left items in your cart - return to checkout today","208934606082_Abandoned-Cart----Email-1-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html","pending"
"208939229055","Abandoned Cart -- Email 2 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today","AUTOMATED","You left items in your cart - return to checkout today","208939229055_Abandoned-Cart----Email-2-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html","pending"
"208939236631","New Customer -- Email 3 of 8 -- New Customer Onboarding -- Your Hair System Is On The Way","AUTOMATED","Your hair system is on the way","208939236631_New-Customer----Email-3-of-8----New-Customer-Onboarding----Your-Hair-System-Is-On-The-Way.html","pending"
"208939275297","Abandoned Cart -- Email 3 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today","AUTOMATED","You left items in your cart - return to checkout today","208939275297_Abandoned-Cart----Email-3-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html","pending"
"208939275325","Abandoned Cart -- Email 4 of 4 -- Abandoned Cart Legacy -- You Left Items In Your Cart Return To Checkout Today","AUTOMATED","You left items in your cart - return to checkout today","208939275325_Abandoned-Cart----Email-4-of-4----Abandoned-Cart-Legacy----You-Left-Items-In-Your-Cart-Return-To-Checkout-Today.html","pending"
"211278031920","Welcome -- Email 1 of 5 -- Lead Welcome -- Welcome To Hair Solutions Co","AUTOMATED","Welcome to Hair Solutions Co. — your resources are inside","211278031920_Welcome----Email-1-of-5----Lead-Welcome----Welcome-To-Hair-Solutions-Co.html","pending"
"211345973635","Supporting -- Resubscribe -- Consent -- Resubscribe Email","PUBLISHED","Did you want to resubscribe to email from Hair Solutions Co?","211345973635_Supporting----Resubscribe----Consent----Resubscribe-Email.html","pending"
"211345977476","Win-back -- Email 4 of 4 -- Winback -- Last Email From Us We Respect Your Inbox","AUTOMATED","Last email from us — we respect your inbox","211345977476_Win-back----Email-4-of-4----Winback----Last-Email-From-Us-We-Respect-Your-Inbox.html","pending"
"211345979187","Welcome -- Email 2 of 5 -- Lead Welcome -- Why We Do This (and Why It Matters To You)","AUTOMATED","Why we do this (and why it matters to you)","211345979187_Welcome----Email-2-of-5----Lead-Welcome----Why-We-Do-This-and-Why-It-Matters-To-You.html","pending"
"211345979193","Welcome -- Email 5 of 5 -- Lead Welcome -- Ready To Talk? Book Your Free Consultation","AUTOMATED","Ready to talk? Book your free consultation","211345979193_Welcome----Email-5-of-5----Lead-Welcome----Ready-To-Talk-Book-Your-Free-Consultation.html","pending"
"211345979651","New Customer -- Email 5 of 8 -- New Customer Onboarding -- Week 1 Care Tips For Your Hair System","AUTOMATED","Week 1 care tips for your hair system","211345979651_New-Customer----Email-5-of-8----New-Customer-Onboarding----Week-1-Care-Tips-For-Your-Hair-System.html","pending"
