review_id,product,handle,product_url,author,rating,title,body,date,verified_buyer,permission,used_in
054eab72-7d75-4235-a2d9-ebf785be2aa8,Dura Skin,dura-skin-012mm-injected-mens-hair-system-gauze-8x10,/products/dura-skin-012mm-injected-mens-hair-system-gauze-8x10,Benjamin M.,4,Pretty satisfied,Good hairline and natural appearance. Quality is decent for the price. It can feel a bit warm when its hot outside. Application takes practice but gets easier. Would probably order again.,2025-10-10,false,published-review,
19b2598b-9a49-43a2-8762-45ad73b164a3,Dura Skin,dura-skin-012mm-injected-mens-hair-system-gauze-8x10,/products/dura-skin-012mm-injected-mens-hair-system-gauze-8x10,Andrew L.,5,Works great,Easy to maintain. Looks good,2025-10-07,false,published-review,
b0925cec-8518-488b-8846-7c1b34e76ec9,Dura Skin,dura-skin-012mm-injected-mens-hair-system-gauze-8x10,/products/dura-skin-012mm-injected-mens-hair-system-gauze-8x10,Scott S.,5,Looks completely natural,No one can tell its a system. The hairline blends perfectly and I can style it however I want. Quality exceeded my expectations for the price.,2025-09-03,false,published-review,
f8d11288-0530-4fa2-92ba-640a06ae2822,Dura Skin,dura-skin-012mm-injected-mens-hair-system-gauze-8x10,/products/dura-skin-012mm-injected-mens-hair-system-gauze-8x10,David W.,5,Holds up well,Been using this for almost 3 months. Still in good condition. Stays on well even when sweating. Quality hair that doesn't tangle much.,2025-08-27,false,published-review,
b52975fd-decd-489a-9c82-e07e12aa1285,Dura Skin,dura-skin-012mm-injected-mens-hair-system-gauze-8x10,/products/dura-skin-012mm-injected-mens-hair-system-gauze-8x10,Paul C.,5,Works,Does the job,2025-08-20,false,published-review,
87e16579-f0ac-4c30-9db7-fa16cbee9357,Lace Edge 180 MD,lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,/products/lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,David W.,4,good system but has a learning curve,"Overall I'm happy with this purchase but it definitely took some getting used to. The quality is good - hair looks and feels natural, color matched perfectly. However, the application process is not as straightforward as the videos make it seem. First attempt was a disaster with air bubbles and uneven placement. Had to remove it and start over. Second time was better. By the third application I had it down. Been wearing for about 2 months now and it's holding up well. Gets a bit warm in the summer which is my only real complaint. For the price point it's a solid choice, just be prepared for some trial and error at the beginning.",2025-10-20,false,published-review,
27f9b8d5-7725-42c1-85d7-8cfc026201ee,Lace Edge 180 MD,lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,/products/lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,Ronald G.,4,Satisfied,Mostly satisfied,2025-10-18,false,published-review,
e5c54c98-653e-4804-862c-db633cd7ec7a,Lace Edge 180 MD,lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,/products/lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,Stephen E.,4,Good product,"Quality is good, looks natural",2025-10-16,false,published-review,
2b4ca964-1aad-45d9-b3b0-d86125ccebdb,Lace Edge 180 MD,lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,/products/lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,James B.,5,Satisfied,Satisfied with purchase,2025-09-30,false,published-review,
2851e77e-7d7b-47f2-9c77-d1d8790dc8d2,Lace Edge 180 MD,lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,/products/lace-edge-180-md-swiss-lace-hair-system-pu-sides-back,Robert M.,4,Solid system,Good quality. Took a few tries to apply correctly,2025-09-27,false,published-review,
